"","gasolinecountrynames","gaspricevalue"
"1","Venezuela ","https://www.globalpetrolprices.com/graph.php?data=0.01"
"2","Sudan ","0.13"
"3","Iran ","0.29"
"4","Kuwait*","0.34"
"5","Algeria*","0.35"
"6","Nigeria ","0.4"
"7","Egypt*","0.43"
"8","Turkmenistan ","0.43"
"9","Kazakhstan ","0.47"
"10","Azerbaijan ","0.47"
"11","Ecuador ","0.49"
"12","Malaysia*","0.5"
"13","Qatar*","0.51"
"14","Angola ","0.52"
"15","Bahrain ","0.53"
"16","Bolivia*","0.54"
"17","Uzbekistan ","0.54"
"18","Saudi Arabia ","0.54"
"19","Oman*","0.56"
"20","UA Emirates*","0.57"
"21","Burma*","0.57"
"22","Kyrgyzstan*","0.61"
"23","Iraq ","0.63"
"24","Afghanistan ","0.64"
"25","Russia*","0.67"
"26","Tunisia*","0.68"
"27","Indonesia*","0.7"
"28","Ethiopia ","0.72"
"29","Pakistan*","0.74"
"30","Colombia*","0.74"
"31","Belarus*","0.75"
"32","Bhutan ","0.76"
"33","Haiti ","0.8"
"34","USA*","0.8"
"35","Benin ","0.81"
"36","Lebanon*","0.84"
"37","Sierra Leone*","0.84"
"38","Tr.&Tobago ","0.85"
"39","Vietnam*","0.87"
"40","Dominica ","0.87"
"41","Namibia*","0.87"
"42","Botswana ","0.87"
"43","Panama*","0.87"
"44","Georgia*","0.87"
"45","Puerto Rico ","0.88"
"46","Sri Lanka*","0.88"
"47","Chad ","0.89"
"48","Liberia ","0.9"
"49","Suriname*","0.92"
"50","Guatemala*","0.92"
"51","Swaziland ","0.92"
"52","Tanzania*","0.93"
"53","Lesotho ","0.93"
"54","Taiwan*","0.94"
"55","El Salvador*","0.96"
"56","Togo ","0.96"
"57","Nepal*","0.97"
"58","Cambodia*","0.98"
"59","Kenya*","0.99"
"60","Fiji*","0.99"
"61","Mexico*","1.01"
"62","Costa Rica*","1.02"
"63","Australia*","1.02"
"64","Ukraine*","1.02"
"65","Guyana ","1.04"
"66","Guinea ","1.04"
"67","China*","1.05"
"68","Honduras*","1.06"
"69","Moldova*","1.06"
"70","Philippines*","1.06"
"71","India*","1.06"
"72","Bangladesh ","1.06"
"73","Ivory Coast*","1.06"
"74","Argentina*","1.07"
"75","Paraguay ","1.08"
"76","Nicaragua*","1.08"
"77","Ghana*","1.08"
"78","Canada*","1.08"
"79","Cameroon*","1.09"
"80","Saint Lucia*","1.09"
"81","Morocco ","1.09"
"82","Aruba*","1.1"
"83","Peru*","1.1"
"84","Brazil*","1.12"
"85","Mozambique ","1.12"
"86","Thailand*","1.12"
"87","Gabon ","1.12"
"88","Burkina Faso ","1.12"
"89","South Africa*","1.13"
"90","Uganda*","1.14"
"91","Rwanda*","1.15"
"92","Madagascar ","1.16"
"93","Bahamas ","1.18"
"94","Laos*","1.19"
"95","Senegal ","1.19"
"96","Malawi*","1.19"
"97","Grenada*","1.19"
"98","Bulgaria*","1.2"
"99","Chile*","1.2"
"100","Cayman Isl.*","1.2"
"101","Mali ","1.22"
"102","Cuba ","1.22"
"103","South Korea*","1.24"
"104","Japan*","1.25"
"105","Domin. Rep.*","1.25"
"106","Macedonia*","1.26"
"107","Cape Verde*","1.27"
"108","Bosnia & Herz. ","1.27"
"109","Jamaica*","1.29"
"110","Turkey*","1.31"
"111","Lithuania*","1.31"
"112","Poland*","1.31"
"113","Andorra*","1.32"
"114","Burundi ","1.32"
"115","Romania*","1.36"
"116","Mauritius*","1.36"
"117","Cyprus*","1.36"
"118","Hungary*","1.37"
"119","Latvia*","1.38"
"120","Czech Rep.*","1.39"
"121","DR Congo ","1.39"
"122","Austria*","1.4"
"123","Luxembourg*","1.4"
"124","Jordan*","1.41"
"125","Serbia*","1.42"
"126","Belize ","1.43"
"127","Montenegro*","1.46"
"128","Spain*","1.48"
"129","C.A. Republic ","1.49"
"130","Slovakia*","1.49"
"131","Slovenia*","1.49"
"132","Croatia*","1.51"
"133","Malta*","1.53"
"134","Switzerland*","1.53"
"135","Ireland*","1.54"
"136","Estonia*","1.54"
"137","UK*","1.57"
"138","Singapore*","1.57"
"139","Yemen ","1.58"
"140","Germany*","1.58"
"141","New Zealand*","1.6"
"142","Zambia*","1.62"
"143","Albania ","1.62"
"144","Belgium*","1.64"
"145","Liechtenstein ","1.65"
"146","San Marino ","1.66"
"147","Wallis and Futuna Islands ","1.67"
"148","Uruguay*","1.7"
"149","Portugal*","1.7"
"150","France*","1.7"
"151","Finland*","1.72"
"152","Mayotte*","1.74"
"153","Israel*","1.75"
"154","Italy*","1.78"
"155","Sweden*","1.79"
"156","Denmark*","1.82"
"157","Greece*","1.83"
"158","Iceland*","1.84"
"159","Netherlands*","1.88"
"160","Barbados*","1.91"
"161","Norway*","1.94"
"162","Monaco ","1.98"
"163","Hong Kong*","2.18"
"164","Zimbabwe ","3.4&titles=0.01|0.13|0.29|0.34|0.35|0.40|0.43|0.43|0.47|0.47|0.49|0.50|0.51|0.52|0.53|0.54|0.54|0.54|0.56|0.57|0.57|0.61|0.63|0.64|0.67|0.68|0.70|0.72|0.74|0.74|0.75|0.76|0.80|0.80|0.81|0.84|0.84|0.85|0.87|0.87|0.87|0.87|0.87|0.87|0.88|0.88|0.89|0.90|0.92|0.92|0.92|0.93|0.93|0.94|0.96|0.96|0.97|0.98|0.99|0.99|1.01|1.02|1.02|1.02|1.04|1.04|1.05|1.06|1.06|1.06|1.06|1.06|1.06|1.07|1.08|1.08|1.08|1.08|1.09|1.09|1.09|1.10|1.10|1.12|1.12|1.12|1.12|1.12|1.13|1.14|1.15|1.16|1.18|1.19|1.19|1.19|1.19|1.20|1.20|1.20|1.22|1.22|1.24|1.25|1.25|1.26|1.27|1.27|1.29|1.31|1.31|1.31|1.32|1.32|1.36|1.36|1.36|1.37|1.38|1.39|1.39|1.40|1.40|1.41|1.42|1.43|1.46|1.48|1.49|1.49|1.49|1.51|1.53|1.53|1.54|1.54|1.57|1.57|1.58|1.58|1.60|1.62|1.62|1.64|1.65|1.66|1.67|1.70|1.70|1.70|1.72|1.74|1.75|1.78|1.79|1.82|1.83|1.84|1.88|1.91|1.94|1.98|2.18|3.40&outsideGraphTitles=&highlight=&max=3.4&scale_max=3.4&no_numbers=1&image_type=png&bgr=255&bgg=255&bgb=255&outside_margin=10&graph_title=&bar_color_r=226&bar_color_g=187&bar_color_b=6&cpyright=&graph_width=590&dsource=GlobalPetrolPrices.com&min=0.00833796553641&lang=en"
